scene,miou,fmiou,macc,pacc
room0,0.3745282191777164,0.6163722743693791,0.5282998962150449,0.7540709232298427
room1,0.35238512013382456,0.5151609319478653,0.582032602606127,0.6564194777513517
room2,0.3602962954106583,0.5386552487989403,0.4405514780256069,0.5773394055418812
office0,0.2982980521113265,0.6360335359616607,0.3518392720487908,0.7129788732710314
office1,0.202660640069905,0.3426333757565116,0.2304831449840845,0.3516810323100963
office2,0.3069437166145379,0.6655958867630004,0.33510760698199904,0.7342775588718935
office3,0.23247993498887487,0.4859595213828287,0.38979990530607417,0.6216007897121066
office4,0.39910875614711255,0.587964768688939,0.44114936688694345,0.6552091024843456
all,0.3158375918317445,0.5485469429586407,0.4124079091318339,0.6329471453965686
