scene_id,miou,mrecall,mprecision,mf1score,fmiou
room0,48.95357709555399,57.59404287451789,54.07236559050423,53.69995079524955,85.10580631275128
room1,45.84199321620604,64.18780754594242,49.80231760179295,52.91588084758616,63.09316917492846
room2,60.7290655374527,63.11836285250527,61.7499406848635,62.40323473881514,90.64652077713322
office0,36.53606573740642,37.740286522441444,37.65554428100586,37.64776981684277,92.64078509828288
office1,28.49453337052289,28.569817543029785,29.335342084660248,28.92339661699202,97.1695448531838
office2,37.44301676750183,38.52710247039795,38.81780902544658,38.58617660922347,89.84910362556568
office3,32.49708041548729,43.147325813770294,33.7259866297245,36.88453308646966,63.87062493728335
office4,46.989163756370544,46.989163756370544,50.0,48.22779020391721,73.31264739489707
all,29.564638711655366,45.07883718738762,40.92816054247893,37.19244182152174,65.26038310442817
